Title,Price
"Lenovo ThinkPad t440s Core i7-4600u 2,1ghz 8gb 256gb SSD 1920x1080 De. Backlit B",$364.46
"New ListingPower 12,5 inch Laptop Dell Latitude e7240 i5 2x 2 GHz 4gb 128gb Win 10 Home 64",$343.74
New ListingAsus ROG gaming Laptop computer G771JW I7 Win10 Gtx 960m 128gb ssd,$555.45
"Dell Latitude 7280 Ultrabook 12.5"" Core i5-7300U 8GB 256GB SSD Full HD Win 10",$590.66
"New ListingHEWLETT PACKARD HP 15‑f162dx 15.6"" TOUCH LED DUAL CORE WIN 10 LAPTOP NOTEBOOK",$119.99
"Lenovo ThinkPad t440s Core i7-4600u 2,1ghz 8gb 256gb SSD 1920x1080 De. Backlit B",$364.46
"New ListingPower 12,5 inch Laptop Dell Latitude e7240 i5 2x 2 GHz 4gb 128gb Win 10 Home 64",$343.74
New ListingHP SCEPTRE XT 15-4011NR INTEL i7 8GB 500GB HD 32GB SSD TOUCH 15.6 WIN10 LAPTOP,$375.00
New ListingAsus ROG gaming Laptop computer G771JW I7 Win10 Gtx 960m 128gb ssd,$555.45
HP 15.6 TouchScreen Intel Pentium 4GB 1TB HD DVDRW WebCam Windows 10 Laptop HOT!,$339.95
"HP 15-ba043na LAPTOP 15.6"" QUAD CORE AMD A12-9700P 3.4GHz 8GB 2TB 1Yr WARRANTY",$472.52
"14,1 Zoll T-BAO X7 Plus Windows 10 Laptop 6GB 64GB WIFI Super Thin Notebook weiß",$174.78
Xiaomi MI Laptop Pro 15.6 8th i7-8550u 16gb 256gb Gray Garant,"$1,279.50"
New ListingHP Laptop 15-bw094na AMD Quad-Core A10-9620P 128GB SSD FULL HD **NEW**,$420.03
"New ListingDell Latitude E7450 14in. (256GB, Intel Core i5 5th Gen, 2.3 GHz, 8GB) Laptop",$274.99
"New ListingHP ENVY 17.3"" (1TB, Intel Core i7 7th Gen., 2.70GHz, 16GB) Laptop ",$549.00
ASUS Gaming Laptop (Model GL551J) SEE DESCRIPTION!!!,$699.99
Lenovo ThinkPad x230 Desire configuration | Webcam | Win 10 Pro | A Grade,$231.88 to $581.46
New ListingDell Latitude E6430 / Intel I5 3rd Gen/ 3340M @ 2.70GHz/8GB/128GB SSD,$236.25
New ListingLenovo Thinkpad T440 Laptop Core i5 4th Gen 1.9Ghz 500GB Webcam Win 10 Webcam,$170.62
"New ListingDell Latitude E5440 14"" Laptop i5 4210U 1.7GHZ 4GB 500GB HDMI Webcam Window 10",$183.75
"New ListingHP Elite X2 1012 G2 12.3"" 2 in 1 Laptop Win 10 8GB 256GB i5-7200U 7TH Gen + Pen",$708.79
"New ListingDell Latitude E7450 14in (256GB, Intel Core i5 5th Gen, 2.3 GHz, 8GB) Laptop",$274.99
"New ListingDell Inspiron Laptop 15.6 inch HD 1TB 8GB AMD A9 Windows 10 Core PC Computer ",$499.90
Acer aspire 5670 laptop,$104.87
"VOYO VBOOK V3 Pro 13.3"" IPS Screen Tablet Laptop PC Windows 10 Quad Core 8G+128G",$498.99
"New ListingRazer Blade RZ09-02385E92-R3U1 15.6"" Laptop i7 16GB Memory GTX 1060 New Sealed","$2,899.99"
"CHUWI LapBook14.1 PC Laptop 14.1"" HD IPS Win10 Quad Core Intel 4+64GB Dual WIFI",$163.12
"New ListingHP 15-bs212wm 15.6"" Laptop, Windows 10, Intel Celeron N4000 Processor, 4GB RAM",$399.99
"New Listing*BNIB* HP 15-cc060wm 15.6"" Intel Core i7-7500u Touch Win10 12GB 1TB HD Laptop",$514.99
New ListingSAMSUNG SENS R430 LAPTOP WEBCAM 4GB RAM 250GB HDD WIN7 OFFICE13 HDMI,$160.00
"MSI gl62m 7rex, 15,6"" FHD, i7-7700hq 8gb, 1tb, 1050ti, win 10 Pro",$931.03
"14.1"" T-bao X7 Windows 10 Laptop Notebook PC Intel N3450 6GB+64GB Quad Core HDMI",$174.78
"New ListingAcer Aspire R3-131T Intel Celeron N3060 11.6"" 4GB Windows 10 Touchscreen Laptop",$301.88
New ListingDell Latitude E6320 Laptop Upgraded to 4GB RAM and HD120 SSD,$118.12
"HP 14-bk063sa 14"" Best Budget Laptop Intel Pentium 4415U, 4GB RAM, 1TB HDD ",$338.60 to $548.61
"New ListingPower 17,1 inch Laptop Dell Precision m6800 i7 2,8ghz 16gb 256gb DVDROM win10h64",$996.17
New ListingDell Precision M4800 i7-4800MQ 2.7GHz 8GB 256GB SSD Win 7 NVidia Gaming Laptop,$470.00
New ListingHP EliteBook 8570w Quad Core i7-3720QM 2.6GHz 16GB 128GB SSD Win 7 Gaming Laptop,$475.00
"New ListingDell Ultrabook E7440 14"" Core i7-4600u 2.1GHZ 16GB 256GB SSD 1080p Win 7 Laptop",$445.00
New ListingDell Precision M4800 i7-4800MQ 2.7GHz 8GB 750GB Win 7 NVidia 1080p Gaming Laptop,$440.00
New ListingDELL LATITUDE E6400 LAPTOP C2D 2GB RAM 120GB AS IS FOR FIX OR PARTS!!!!,$25.00
New ListingDell Precision M4600 Quad Core i7 2.2GHz 8GB 1TB Webcam Win7 1080p Gaming Laptop,$375.00
XIAOMi Notebook Dual Core 8GB+256GB SSD Fingerprint Sensor 2*WiFi PC Laptops,$787.55
Dell Latitude E6440 Intel i5 2.60GHz 4GB Ram 320GB Win 10 Laptop HDMI Grade A,$216.57
Jumper Ezbook 2 14.1”fhd Windows 10 4gb+64gb WiFi Laptop Notebook PC Computer,$151.47
"New ListingDell Precision M6600 17"" Quad Core i7-2720QM 2.2/8/500GB NVidia Gaming Laptop",$420.00
"New ListingMicrosoft Surface Laptop 13.5 Inch in Original Packaging (128 GB, Intel Core M, 4 GB",$897.24
"ASUS Vivobook X541SA 15.6"" Windows 10 Laptop Intel Pentium, 4GB RAM, 1TB HDD",$328.14 to $367.51
"HP Pavilion 14"" - 15.6"" SSD Laptop Latest Intel Core i3 / i5, 8GB RAM, 256GB SSD",$525.03 to $787.55
New ListingDell Precision M4600 Quad Core i7 2.2GHz 4GB 1TB Webcam Win7 1080p Gaming Laptop,$355.00
"BRAND NEW! ACER ASPIRE 5 A515-51-3509 15.6"" FULL HD 1080P i3-7100U LAPTOP SEALED",$333.00
New ListingAcer Aspire Laptop E1-571 Core i5 3230m 2.6Ghz 4Gb DDR3 320Gb SATA Windows 8,$131.25
